Label	Area	Diameter
1	359.424000	26.880000
2	56.832000	12.288000
3	2096.640000	75.264000
4	16.896000	6.144000
5	2076.672000	63.744000
6	36.864000	9.984000
7	474.624000	39.936000
8	331.776000	25.344000
9	437.760000	29.952000
10	1244.160000	60.672000
11	448.512000	29.952000
12	26.112000	6.912000
13	7.680000	4.608000
14	221.184000	29.952000
15	50.688000	12.288000
16	119.808000	15.360000
17	16.896000	6.144000
18	1.536000	1.536000
19	6.144000	3.072000
20	21.504000	6.144000
21	783.360000	41.472000
22	1018.368000	48.384000
23	4.608000	3.072000
24	9.216000	4.608000
25	10.752000	4.608000
26	9.216000	3.840000
Total count	Mean Area	Mean Diameter	Max Area	Max Diameter	Min Area	Min Diameter
27	380.278154	22.006154	2096.640000	75.264000	1.536000	1.536000
